threshold,asr,fpr,ddr,mitigation_rate,avg_detection_turn,avg_latency_ms,bypass_interception_rate,successful_attacks,false_positives,bypass_interceptions
0.2,0.0,0.6666666666666666,1.0,0.7916666666666666,2.0,5353.023512695552,0.5238095238095238,0,10,33
0.3,0.0,0.6666666666666666,1.0,0.7916666666666666,2.0,5232.289334917774,0.5238095238095238,0,10,33
0.4,0.0,0.6666666666666666,1.0,0.7916666666666666,2.0,5232.2226253939525,0.5238095238095238,0,10,33
0.5,0.0,0.6,1.0,0.7916666666666666,2.0,5685.006717457993,0.5079365079365079,0,9,32
0.6,0.0,0.6,1.0,0.7916666666666666,2.0,5685.096769838998,0.5079365079365079,0,9,32
0.7,0.0,0.5333333333333333,1.0,0.6875,2.5,9587.912136506382,0.4126984126984127,0,8,26
0.8,0.0,0.4,1.0,0.6041666666666666,2.9,13935.301298412562,0.3333333333333333,0,6,21
0.82,0.0,0.3333333333333333,1.0,0.5833333333333334,3.0,14924.719550791897,0.30158730158730157,0,5,19
0.84,0.0,1.0,1.0,0.5625,3.1,130.34173650787181,0.2857142857142857,0,15,18
0.85,0.0,0.2,1.0,0.5625,3.1,16480.698631743613,0.2857142857142857,0,3,18
0.87,0.0,1.0,1.0,0.5416666666666666,3.2,1.8233396833585132,0.2857142857142857,0,15,18
0.88,0.0,0.13333333333333333,1.0,0.5208333333333334,3.3,19146.284401584086,0.2698412698412698,0,2,17
0.9,0.0,0.06666666666666667,1.0,0.5208333333333334,3.3,19756.80709206013,0.2698412698412698,0,1,17
0.92,0.0,0.0,1.0,0.5208333333333334,3.3,20371.30545079062,0.2698412698412698,0,0,17
0.94,0.0,1.0,0.9,0.4583333333333333,3.3333333333333335,1.5281793663263439,0.25396825396825395,0,15,16
0.95,0.1,0.0,0.9,0.4583333333333333,3.3333333333333335,23160.005144439925,0.25396825396825395,1,0,16
